#Name;GC&Wii;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
F-Zero GX (USA);F-Zero GX (미국판);Game Cube_gcz;;2003;;Racing;;;;;;;;;;
K-POP Dance Festival (K);K-POP 댄스 페스티발;Wii_gcz;;2013;SKONEC Entertainment;Rhythm;;;;;;;;;;
#NBA Live 2005 (USA);NBA 라이브 2005;Game Cube_gcz;;2005;EA Sports;Sports;;;;;;;;;;
#SD Gundam Gashapon Wars (J);SD 건담 가챠퐁 워즈 (일본판);Game Cube_gcz;;;Badai;SRPG;;;;;;;;;;
#SSX Blur (K);SSX 블러. 한글판;Wii;;2007;EA Sports;Sports;;;;;;;;;;
Wii Music (K);Wii 뮤직. 한글판;Wii;;2008;Nintendo;Rhythm;;;;;;;;;;
#Big Brain Academy - Wii Degree (K);Wii로 다함께! 말랑말랑 두뇌교실. 한글판;Wii_gcz;;2007;;Puzzle;;;;;;;;;;
Zatch Bell! - Mamodo Battles (USA);금색의 갓슈벨 - 우정파괴 태그 배틀 2 (미국판);Game Cube;;2005;Badai;VS Fight;;;;;;;;;;
Mobile Suit Gundam - MS Sensen 0079 (J);기동전사 건담 - MS 전선 0079 (일본판);Wii_gcz;;2007;Badai;Action;;;;;;;;;;
#Mobile Suit Gundam - Senshitachi no Kiseki (J);기동전사 건담 - 전사들의 궤적 (일본판);Game Cube_gcz;;;Badai;Action;;;;;;;;;;
Naruto - Gekitou Ninja Taisen! 4 (Japan);나루토 격투 닌자대전! 4;Game Cube_gcz;;2005;Tomy;VS Fight;;;;;;;;;;
New Super Mario Bros Wii 2 - The Next Levels (USA);뉴 슈퍼 마리오 브로스 Wii 2 (미국판);Wii;;2010;;Action;;;;;;;;;;
New Super Mario Bros Wii (K);뉴 슈퍼 마리오 브로스 Wii. 한글판;Wii_gcz;;2009;;Action;;;;;;;;;;
Dairantou Smash Brothers X (K);대난투 스매시 브라더스 X. 한글판;Wii;;2008;;VS Fight;;;;;;;;;;
Donkey Kong Country Returns (USA);동키콩 컨트리 리턴즈 (미국판);Wii_gcz;;2010;Nintendo;Action;;;;;;;;;;
Dragon Ball - Revenge of King Piccolo (USA);드래곤볼 - 천하제일 대모험 (미국판);Wii_gcz;;2009;Badai;Action;;;;;;;;;;
Dragonball Z Budokai 2 (U);드래곤볼 Z 무도회 2 (미국판);Game Cube_gcz;;;;VS Fight;;;;;;;;;;
Disney Epic Mickey 2 - The Power of Two (K);디즈니 에픽 미키 2. 한글판;Wii_gcz;;2012;Disney;Action;;;;;;;;;;
Mega Man Network Transmission (USA);록맨 에그제 트랜스미션;Game Cube_gcz;;2003;Capcom;Action;;;;;;;;;;
Luigis Mansion (USA);루이지 맨션;Game Cube;;2001;Nintendo;Action;;;;;;;;;;
Mario Golf - Toadstool Tour (USA);마리오 골프 (미국판);Game Cube;;2003;;Sports;;;;;;;;;;
Mario Superstar Baseball (Europe);마리오 슈퍼스타 베이스볼 (유럽판);Game Cube_gcz;;2005;;Sports;;;;;;;;;;
Mario Kart - Double Dash!! (USA);마리오 카트 - 더블 대시!! (미국판);Game Cube_gcz;;;;Racing;;;;;;;;;;
Mario Kart Wii (K);마리오 카트 Wii. 한글판;Wii;;;;Racing;;;;;;;;;;
