#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1942;1942;MAME;0;1984;Capcom;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;2
1941;1941: 카운터 어택;MAME;0;1990;Capcom;Shooting;;;;;;;cps1;;;
1943kai;1943 카이: 미드웨이 해전;MAME;1943;1987;Capcom;Shooting;;;;;;;;;;
1943;1943: 미드웨이 해전;MAME;0;1987;Capcom;Shooting;;;;;;;;;;
1944;1944: 루프 마스터;MAME;0;2000;Capcom;Shooting;2;0;Joystick (8-way);good;1;raster;cps2;0;0;2
19xx;19XX: 운명과의 전쟁;MAME;0;1996;Capcom;Shooting;;;;;;;cps2;;;
2020bb;2020 슈퍼 베이스볼;MAME;0;1991;SNK;Sports;;;;;;;neogeo;;;
64street;64번가;MAME;0;1991;Jaleco;Arcade;2;0;;good;1;raster;0;0;0;2
88games;88 게임즈;MAME;0;1988;Konami;Sports;4;0;Joystick (8-way);good;1;raster;0;0;0;3
bballoon;BnB 아케이드;MAME;0;1999;Eolith;Puzzle;2;0;Joystick (8-way),dial;good;1;raster;stvbios;0;0;2
djboy;DJ 보이;MAME;0;1989;Sammy;Action;1;0;Joystick (8-way);good;;;;;;
gloc;G-LOC 에어 배틀;MAME;0;1990;SEGA;Shooting;1;0;;good;1;;;;;
gdarius;G-다라이어스;PSXmame;0;1997;Taito;Shooting;;;;;;;cpzn2;;;
jjsquawk;J. J. 스쿼커즈;MAME;0;1993;Athena / Able;Action;2;0;Joystick (8-way);imperfect;1;raster;0;0;0;2
nbajamex;NBA Jam EX;MAME;0;1996;Acclaim;Sports;4;0;Joystick (8-way);imperfect;1;raster;0;0;0;3
nbajamte;NBA Jam TE;MAME;0;1994;Midway;Sports;4;0;Joystick (8-way);good;1;raster;0;0;0;3
p47;P-47: 팬텀 파이터;MAME;0;1995;Jaleco;Shooting;;;;;;;;;;
rtype;R 타입;MAME;0;1987;Irem;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;4
rtype2;R 타입 II;MAME;0;1989;Irem;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;4
rtypeleo;R 타입 레오;MAME;0;1992;Irem;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;2
sdfight;SD 파이터;MAME;0;1996;SemiCom;VS Fighting;2;;;;;;;0;0;4
svcsplus;SNK Vs. 캡콤 슈퍼 플러스;MAME;0;2003;SNK Playmore;VS Fighting;2;0;joystick (8-way);;;;;;;
tx1;TX-1;MAME;0;1983;Tatsumi;Racing;1;0;pedal,dial;imperfect;3;raster;0;0;0;1
dangar;UFO 로봇 덴자;MAME;0;1986;Nichibutsu;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
mustang;US AAF 무스탕;MAME;0;1990;UPL;Shooting;;;;;;;;0;0;4
wwfmania;WWF 레슬매니아;MAME;0;1995;Midway;Sports;2;0;Joystick (8-way);good;1;raster;0;0;0;5
wwfwfest;WWF 레슬페스트;MAME;0;1991;Technos Japan;Sports;4;0;Joystick (8-way);good;1;raster;0;0;0;2
wwfsstar;WWF 수퍼스타즈;MAME;0;1989;Technos Japan;Sports;2;0;Joystick (8-way);good;1;raster;0;0;0;2
xmultipl;X 멀티플라이;MAME;0;1989;Irem;Shooting;2;0;Joystick (8-way),dial;good;1;raster;;0;0;2
grdians;가디언즈 / 전신마괴 II ;MAME;0;1995;Banpresto;Arcade;2;0;Joystick (8-way);imperfect;1;raster;0;0;0;3
karatblz;가라데 블레이저스;MAME;0;1991;Video system;Arcade;4;0;Joystick (8-way);good;1;raster;0;0;0;4
garogun;가로군 세로양;MAME;0;2000;Yunsung;Quiz;1;0;joystick (8-way);;;;;;;
gaia;가이아 크루세이더;MAME;0;1999;노이즈 팩토리;Arcade;2;0;Joystick (8-way);imperfect;1;raster;0;0;0;4
gaiapols;가이아 폴리스;MAME;0;1993;Konami;Action;4;90;Joystick (8-way);imperfect;1;raster;0;0;0;3
ganryu;간류;MAME;0;1999;Visco;Action;2;0;Joystick (8-way);imperfect;1;raster;neogeo;0;0;3
galaga;갤러그;MAME;0;1981;Namco;Shooting;1;90;Joystick (2-way);imperfect;1;raster;0;0;0;1
gaplus;갤러그 3;MAME;0;1984;Namco;Shooting;1;90;Joystick (2-way);;;;;0;0;4
galaga88;갤러그 88;MAME;0;1987;Namco;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
galaxyfg;갤럭시 파이트 - 유니버셜 워리어즈;MAME;0;1995;Sunsoft;VS Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4
gforce2;갤럭시 포스 2;MAME;0;1988;SEGA;Shooting;1;0;Joystick (8-way);good;1;raster;0;0;0;4
galastrm;갤럭틱 스톰;MAME;0;1992;Taito;Shooting;;;;;;;;;;
turtshipk;거북선;MAME;turtship;1988;Philko;Shooting;1;0;Joystick (8-way);good;;;;;;
gunnail;건네일;MAME;0;1993;NMK;Shooting;;;;;;;;0;0;4
gundhara;건드하라;MAME;0;1995;Banpresto;Shooting;;;;;;;;0;0;4
gunlock;건락 / 레이포스;MAME;0;1993;Taito Corporation Japan;Shooting;4;90;Joystick (8-way),dial;good;1;raster;0;0;0;4
gnbarich;건바리치;MAME;0;2001;Psikyo;Puzzle;;;;;;;;;;
gunbird;건버드;MAME;0;1994;Psikyo;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
gunbird2;건버드 2;MAME;0;1998;Psikyo;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
gunsmoke;건스모크;MAME;0;1985;Capcom;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
gground;게인그라운드;MAME;0;1988;SEGA;Shooting;3;270;Joystick (8-way);good;1;raster;0;0;0;3
gametngk;게임파라다이스 / 게임천국;MAME;0;1995;Jaleco;Shooting;2;270;Joystick (8-way);imperfect;1;raster;0;0;0;5
ket;게츠이: 인연지옥들;MAME;0;2002;Cave;Shooting;;;;;;;;0;0;4
jzth;결전천황;MAME;0;2000;Unknown;Arcade;2;0;Joystick (8-way);good;1;raster;;0;0;2
go2000;고스톱 2000;MAME;0;2000;SA;Board Game;1;0;Joystick (2-way);good;1;raster;0;0;0;6
gpilots;고스트 파일럿;MAME;0;1995;Visco;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2
goalx3;골! 골! 골!;MAME;0;1995;Visco;Sports;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;3
goldstar;골드 스타 (빠칭코);MAME;0;199?;IGS;Casino adult;1;0;gambling;;;;;;;
goldnaxe;골든 액스;MAME;0;1989;SEGA;Arcade;2;0;Joystick (8-way);good;1;raster;0;0;0;3
gaxeduel;골든 액스 - 더 듀얼;MAME;0;1994;SEGA;VS Fighting;2;0;Joystick (8-way),dial;good;1;raster;stvbios;0;0;4
ga2;골든 액스 - 데스아더의 복수;MAME;0;1992;SEGA;Arcade;4;0;Joystick (8-way);imperfect;1;raster;0;0;0;3
kurikint;공리금단;MAME;0;1988;Taito Corporation Japan;Action;2;;;;;;;;;
kuhga;공아 / 베이퍼 트레일;MAME;vaportra;1989;data east;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;2
wolffang;공아 2001 / 울프팡;MAME;rohga;1991;Data east;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;2
stratof;공아 스트라토 파이터;MAME;0;1991;Techmo;Shooting;;;;;;;;;;
skullfngj;공아 외전 / 스컬팡;MAME;skullfng;1996;Data east;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;2
ktiger;구극 타이거 / 트윈 코브라;MAME;twincobr;1987;Taito;Shooting;2;0;Joystick (8-way),dial;good;1;raster;;0;0;2
ktiger2;구극 타이거 2 / 트윈 코브라 2;MAME;tcobra2;1995;Taito;Shooting;2;0;Joystick (8-way),dial;good;1;raster;;0;0;3
bonkadv;구극!! PC 원인;MAME;0;1994;kaneko;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;4
mmaulers;구극전대 다단단;MAME;0;1993;Konami;VS Fighting;4;;;;;;;;;
goonies;구니스;MAME;0;1986;Konami;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;2
guwange;구완게;MAME;0;1999;Cave;Shooting;;;;;;;;;;
gradius;그라디우스;MAME;nemesis;1985;Konami;Shooting;;;;;;;;;;
gradius2;그라디우스 2 - 고퍼의 야망;MAME;vulcan;1988;Konami;Shooting;;;;;;;;;;
gradius3;그라디우스 3 - 전설에서 신화로;MAME;0;1989;Konami;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;3
gradius4;그라디우스 4 - 부활;MAME;0;1998;Konami;Shooting;;;;;;;;;;
grindstm;그라인드 스토머;MAME;0;1992;Toaplan;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;2
dimahoo;그레이트 마법 대작전;MAME;0;2000;Raizing;Shooting;2;270;joystick (8-way);;;;cps2;;;
gberet;그린베레;MAME;0;1985;Konami;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;2
fantjour;극상파로디우스;MAME;0;1994;Konami;Shooting;4;0;Joystick (8-way);imperfect;1;raster;0;0;0;3
gladiatr;글라디에이터 / 황금성;MAME;0;1986;Taito America Corporation;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;3
gigawing;기가 윙;MAME;0;1999;Capcom;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;2
kikikai;기기괴계;MAME;0;1986;Taito;Shooting;2;90;Joystick (8-way);good;1;raster;0;0;0;2
neobattl;기동전사 SD 건담 네오 배틀링;MAME;0;1992;Banpresto;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;1
sdgndmps;기동전사 SD 건담 사이코 샐러맨더의 위협;MAME;0;1991;Banpresto;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;2
msgundam;기동전사 건담;MAME;0;1993;Banpresto;VS Fighting;2;0;Joystick (8-way);good;1;raster;0;0;0;2
gundamex;기동전사 건담 EX 리뷰;MAME;0;1994;Banpresto;VS Fighting;2;0;Joystick (8-way);good;1;raster;0;0;0;4
blswhstl;나왔다!! 트윈비;MAME;0;1991;Konami;Shooting;2;90;Joystick (8-way);good;1;raster;0;0;0;2
nightstr;나이트 스트라이커;MAME;0;1989;Taito;Shooting;1;0;Joystick (8-way);good;1;raster;0;0;0;2
nslasher;나이트 슬래셔스;MAME;0;1994;data east;Arcade;3;0;Joystick (8-way);imperfect;1;raster;0;0;0;3
nitd;나이트메어 인 더 다크;MAME;0;2000;Eleven / Gavaking;Action;;;;;;;neogeo;0;0;4
nam1975;남-1975;MAME;0;1990;SNK;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2
legendos;내일의 죠 전설;MAME;0;1991;SNK;Arcade;1;;;;;;neogeo;;;
ponpoko;너구리;MAME;0;1982;시그마;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;1
kncljoe;너클 죠;MAME;0;1985;Seibu;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;2
neodrift;네오 드리프트 아웃;MAME;0;1996;Visco;Racing;1;0;Joystick (8-way);good;1;raster;neogeo;0;0;2
neomrdo;네오 미스터 도!;MAME;0;1996;Visco;Puzzle;;;;;;;neogeo;;;
neobombe;네오 봄버맨;MAME;0;1997;Hudson Soft;Puzzle;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4
turfmast;네오 터프 마스터즈;MAME;0;1996;Nazca;Sports;;;;;;;neogeo;;;
tdragon;뇌룡 - 썬더 드래곤;MAME;0;1991;NMK;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;2
tdragon2;뇌룡 2 - 썬더 드래곤 2;MAME;0;1993;NMK;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
nrallyx;뉴 방구차X;MAME;0;1981;Namco;Action;;;;;;;;;;
