#Name;MSX 8bit PC;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1942k;1942;MAME cpg120-cart;1942 (Japan);1987;ASCII;Shooting;;;;;;;;;;
rtype;R 타입;MAME cpg120-cart;R-Type (Japan);1988;Irem;Shooting;;;;;;;;;;
SD Gundam 2;SD 건담 가챠폰 전사 2 캡슐전기;MSX Cartridge;;;;SLG;;;;;;;;;;
#SD Snatcher (K);SD 스내처 (한글판);MSX Disk_SCC;SD Snatcher (U);1990;Konami;RPG;;;;;;;;;;
SD Snatcher (U);SD 스내처. 영문판;MSX Disk;;1990;Konami;RPG;;;;;;;;;;
#sdsnatch;SD 스내처. 일본판;MAME cpc400-flop;SD Snatcher (U);1990;Konami;RPG
T.N.T. (1987)(Infogrames);T.N.T.;MSX Cartridge;;;;Action;;;;;;;;;;
XZRII;XZR II (한글판);MSX Disk;;1988;Reno;RPG;;;;;;;;;;
YS1;YS 1 (한글판);MSX Disk;;1987;Falcom;RPG;;;;;;;;;;
YS2;YS 2 (한글판);MSX Disk;;1988;Falcom;RPG;;;;;;;;;;
ys3;YS 3 - 이스 세계의 방랑자;MAME cpc400-flop;YS3;1989;Falcom;RPG;;;;;;;;;;
gunfrght;건 프라이트;MAME cpg120-cart;;1986;Jaleco;Action;;;;;;;;;;
gulkavek;걸케이브;MAME cpg120-cart;Gulkave (Japan);1986;Pony Canyon;Shooting;;;;;;;;;;
galaga;겔러그;MAME cpg120-cart;Galaga (1984)(Namcot)(J);1984;Namcot;Shooting;;;;;;;;;;
gekipen2;격돌 페넌트 레이스 2;MAME cpg120-cart;Gekitotsu Pennant Race 2 (Japan) (English Menu);1989;Konami;Sprots;;;;;;;;;;
goonies;구니스;MAME cpg120-cart;Goonies, The (1986)(Konami)(J);1986;Konami;Action;;;;;;;;;;
forday2a;그날이 오면 2;MAME cpc400-flop;For the Day II (1990)(Mirinae Software);1990;Mirinae Soft;Shooting;;;;;;;;;;
Gradius (1986,Konami)(U) MSX2 Enhanced;그라디우스;MSX Cartridge;;1986;Konami;Shooting;;;;;;;;;;
Gradius 2 (1987)(Konami)(K);그라디우스 2;MSX Cartridge;;1987;Konami;Shooting;;;;;;;;;;
Gofer no Yabou Episode 2 (1988)(Konami)(K);그라디우스 3 고퍼의 야망 EP2;MSX Cartridge;;1988;Konami;Shooting;;;;;;;;;;
Gofer no Yabou Episode 2 Invincible (1988)(Konami)(K);그라디우스 3 고퍼의 야망 EP2 (무적);MSX Cartridge;;1988;Konami;Shooting;;;;;;;;;;
Kiki Kaikai. Mystery (1987,Taito)(K)(SCC);기기괴계 (한글판);MSX Cartridge;;1987;Taito;Shooting;;;;;;;;;;
gundamk;기동전사 건담;MAME cpg120-cart;Mobile-Suit Gundam - Last Shooting (Japan);1984;Bandai;Action;;;;;;;;;;
Koedori (1988,Mickey Soft,PZ)(K);꾀돌이;MSX Disk;;1988;Mickey Soft;Puzzle;;;;;;;;;;
antarctj;남극탐험;MAME cpg120-cart;antarct;1984;Konami;Racing;;;;;;;;;;
Nyancle Racing (J)(T+eng);니양클 레이싱;MSX Disk;;1988;Bit²;Racing;;;;;;;;;;
iganinp2;닌자병법 - 만월성의 싸움;MAME cpg120-cart;Iga Ninpouten 2 (1986)(Casio)(J);1986;Casio;Action;;;;;;;;;;
legendk;대마성;MAME cpg120-cart;Legendly Knight (Korea);1988;Topia;Action;;;;;;;;;;
Daikoukai Jidai (1991)(Koei)(K);대항해시대 (한글판);MSX Cartridge;;1991;Koei;SLG;;;;;;;;;;
thexder;덱스터;MAME cpg120-cart;Thexder (1986)(Gamearts)(J);1986;Gamearts;Shooting;;;;;;;;;;
Fire Hawk - Thexder II (1989)(Game Arts)(K);덱스터 II (한글판);MSX Disk;;;Game Arts;Shooting;;;;;;;;;;
#ranma;란마;MSX Disk;;;;Adventure;;;;;;;;;;
Rune Master II (1990)(Compile)(K);룬마스터 II (한글판);MSX Disk;;;Compile;RPG;;;;;;;;;;
runemst3;룬마스터 III;MAME cpc400-flop;runemst3;;Compile;RPG;;;;;;;;;;
madou123;마도 물어 123;MAME cpc400-flop;madou123;;Compile;RPG;;;;;;;;;;
