#Name;PC-Engine CD;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
3x3eyes;3x3 아이즈 - 삼지안 변성 (일본판);MAME pcecd;;1994;NEC;RPG;;;;;;;;;;
#mahjong;CD 마작 미소녀 중심파 (일본판);MAME pcecd_gecd;;1993;Game Express;Adult Board Game;;;;;;;;;;
#pachislt;CD 빠찡코 미소녀 겜블러 (일본판);MAME pcecd_gecd;;1994;Game Express;Adult Board Game;;;;;;;;;;
#pachinko;CD 빠찡코 미소녀 구마 네자매 (일본판);MAME pcecd_gecd;;1995;Game Express;Adult Board Game;;;;;;;;;;
cddenjin;CD 전인 - 로커빌리 파라다이스 (일본판);MAME pcecd;;;;Shooting;;;;;;;;;;
#koseikib;KO 세기 비스트 삼수사 - 가이아 부활 완결편 (일본판);MAME pcecd;;;;RPG;;;;;;;;;;
#ldis;L-디스 (일본판);MAME pcecd;;1991;NCS;Shooting;;;;;;;;;;
nexzr;NEXZR (일본판);MAME pcecd;;;;Shooting;;;;;;;;;;
bonk3;PC원인 3 : 봉크의 대모험 CD (미국판);MAME pcecd;;;;Action;;;;;;;;;;
rtype;R-타입 컴플리트 CD (일본판);MAME pcecd;;;;Shooting;;;;;;;;;;
ys12;YS I & II (미국판);PC-Engine CD;;1989;Hudson;RPG;;;;;;;;;;
ys3;YS III - 이스세계의 방랑자;PC-Engine CD;;1991;Hudson;RPG;;;;;;;;;;
ys4;YS IV - 이스의 여명 (일본판)[T-Eng];MAME pcecd;;1993;Hudson;RPG;;;;;;;;;;
godpanic;갓 패닉 - 지상최강군단 (일본판);MAME pcecd;;1992;Teichiku Records;Shooting;;;;;;;;;;
shubibi3;개조정인 슈비빔맨 3 - 이계의 프린세스 (일본판);PC-Engine CD;;;;Action;;;;;;;;;;
gatethun;게이트 오브 썬더 (일본판);MAME pcecd;;;;Shooting;;;;;;;;;;
gground;게인 그라운드 SX;MAME pcecd;;1992;NEC Avenue;Action;;;;;;;;;;
gotzendi;겟첸디너 (일본판);MAME pcecd;;1994;GAINAX;ARPG;;;;;;;;;;
#algunos;격투매왕전설 알가노스 (일본판);MAME pcecd;;1994;Intec;VS Fight;;;;;;;;;;
gulliver;공상과학세계 걸리버 보이 (일본판);MAME pcecd;;1995;Hudson;RPG;;;;;;;;;;
gradius2;그라디우스 2 (일본판);MAME pcecd;;;;Shooting;;;;;;;;;;
downld2;다운로드 2 (일본판);PC-Engine CD;;1991;NEC Avenue;Shooting;;;;;;;;;;
downtown;다운타운 열혈물어 (일본판);MAME pcecd;;1993;Naxat Soft;Action;;;;;;;;;;
soreyukd;다운타운 열혈행진곡 나아가라 대운동회 (일본판);MAME pcecd;;1992;Technos Japan;Action;;;;;;;;;;
dynhero;다이나스틱 히어로 (미국판);MAME pcecd;;;;ARPG;;;;;;;;;;
ddragon2;더블 드래곤 II (일본판);MAME pcecd;;;;Arcade;;;;;;;;;;
doraemon;도라에몽 - 진구의 도라비안 나이트 (일본판);MAME pcecd;;;;Action;;;;;;;;;;
