#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
nbajamte;NBA 잼 토너먼트 에디션 [32X];32X Fusion;;1995;Acclaim;Sports;2;;;;;;;;32MB;
Ys III - Wanderers from Ys (K) [!];Ys III - 이스 세계의 방랑자 (한글판);SEGA Mega Drive;;1991;Falcom;RPG;1;;;;;;;;8MB;
gaiares;가이아레스;MAME megadrij;Gaiares (1990,Renovation,ST)(JU);1990;Renovation;Shooting;1;;;;;;;;8MB;
garfield;가필드 - 현장 습격;MAME Genesis;;1995;SEGA;Action;1;;;;;;;;16MB;
steelemp;강철제국;MAME Genesis;Steel Empire, The (UE) [!];1992;Flying Edge;Shooting;1;;;;;;;;8MB;
gunstaru;건스타 히어로즈;MAME Genesis;Gunstar Heroes (1993,Sega,AT)(U);1993;Treasure;Action;1;;;;;;;;8MB;
ghostbst;고스트 버스터즈;MAME megadrij;Ghostbusters (1990,Sega,AT)(W);1990;SEGA;Action;1;;;;;;;;4MB;
goldnax2;골든 액스 II;MAME megadrij;;1991;SEGA;Action;2;;;;;;;;4MB;
goldnax3;골든 액스 III;MAME megadrij;Golden Axe III (Japan);1993;SEGA;Action;2;;;;;;;;8MB;
kujaku2;공작왕 2 - 환영성;MAME megadrij;mystdef;1989;SEGA;Action;1;;;;;;;;4MB;
grindst;그라인드 스토머;MAME Genesis;GRIND Stormer (1994,Tengen,ST)(U);1994;Tengen;Shooting;1;;;;;;;;8MB;
Gley Lancer (K);그레이 랜서 (한글판);SEGA Mega Drive;;1992;NCS;Shooting;1;;;;;;;;8MB;
chaotixju;너클즈 카오틱스 [32X];MAME 32x;chaotix;1995;SEGA;Action;1;;;;;;;;32MB;
tmnttfu;닌자 거북이: 토너먼트 파이터 ;MAME Genesis;Teenage Mutant Ninja Turtles - Tournament Fighters (U);1993;Konami;VS Fight;2;;;;;;;;8MB;
tmnthh;닌자 거북이: 하이퍼 스톤;MAME Genesis;Teenage Mutant Ninja Turtles - The Hyperstone Heist (U);1992;Konami;Arcade;2;;;;;;;;8MB;
dahnak;다나 여신탄생 (한글판);MAME megadrij;Dahna (Korea);1992;IGS;Action;1;;;;;;;;8MB;
dynabr;다이나 브라더스 ;MAME megadrij;;1992;CRI;SLG;1;;;;;;;;8MB;
dynabr2;다이나 브라더스 2 ;MAME megadrij;Dyna Brothers 2 (1993,CRI,SM)(J);1993;CRI;SLG;1;;;;;;;;16MB;
dhead;다이나마이트 헤디;MAME Genesis;Dynamite Headdy (USA, Europe);1994;SEGA;Action;1;;;;;;;;16MB;
devlcrsh;데빌 크래시 MD;MAME megadrij;dfury;1993;Technosoft;Action;1;;;;;;;;4MB;
dstrike;데저트 스트라이크;MAME Genesis;Desert Strike - Return to the Gulf (1992,EA,ST)(UE);1992;EA;Shooting;1;;;;;;;;8MB;
mauimall;도날드 덕 마우이 멜러드 ;MAME megadriv;Donald in Maui Mallard (1995,Disney,AT)(E);1995;SEGA;Action;1;;;;;;;;24MB;
quacksht;도날드 덕 퀵샷;MAME megadrij;Quack Shot Starring Donald Duck (1991,Sega,AT)(W);1991;SEGA;Action;1;;;;;;;;10MB;
doraemon;도라에몽 - 꿈도둑과 7인의 고잔스;MAME megadrij;Doraemon - Yume Dorobouto 7 Nin No Gozansu (1993,Sega,AT)(J);1993;SEGA;Action;1;;;;;;;;4MB;
doomju;둠 [32X];MAME 32x;doom;1994;ID Soft;Action;1;;;;;;;;24MB;
dbz;드래곤 볼 Z - 무용열전;MAME megadrij;;1994;BANDAI;VS Fight;2;;;;;;;;16MB;
dicktr;딕 트레이시;MAME megadrij;;1991;SEGA;Action;1;;;;;;;;4MB;
lightcrsk;라이트 크루세이더 (한글판);MAME megadrij;light_crusader;1995;SEGA;RPG;1;;;;;;;;16MB;
warsong;랑그릿사 (영문판);MAME Genesis;Warsong (USA);1991;NCS;SRPG;1;;;;;;;;4MB;
langriss;랑그릿사 (일본판);MAME megadrij;Warsong (USA);1991;NCS;SRPG;1;;;;;;;;4MB;
Langrisser II (1994,NCS,RPG)(J)(T+Eng);랑그릿사 II (영문판);SEGA Mega Drive;;1994;NCS;SRPG;1;;;;;;;;16MB;
Langrisser II (J) edit ver;랑그릿사 II (일본판) 능력치 개조버전;SEGA Mega Drive;Langrisser II (1994,NCS,RPG)(J)(T+Eng);1994;NCS;SRPG;1;;;;;;;;16MB;
