#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
3ninja;3 닌자 킥 백 (미국판);MAME segacd;;1994;Sony;Action;;;;;;;;;;
ah3ts;AH3 썬더 스트라이크 (미국판);MAME segacd;;;;Shooting;;;;;;;;;;
ax101;AX-101 (미국판);MAME segacd;;;;Shooting;;;;;;;;;;
arank;A랭크 썬더 - 탄생편 (일본판);MAME megacdj;;;;Adventure;;;;;;;;;;
f1circus;F1 서커스 CD (일본판);MAME megacdj;;1994;SEGA;Racing;;;;;;;;;;
ragecage;WWF 레이지 인 더 케이지 (미국판);MAME segacd;;1993;Arena;Sports;;;;;;;;;;
kamenrzo;가면 라이더 ZO (미국판);MAME segacd;;;;Interactive Movie;;;;;;;;;;
gamenk1;게임 통조림 Vol.1 (일본판);MAME megacdj;;1994;SEGA;Mini Game;;;;;;;;;;
gamenk2;게임 통조림 Vol.2 (일본판);MAME megacdj;;1994;SEGA;Mini Game;;;;;;;;;;
keio;경응 유격대 (일본판);MAME megacdj;;;;Shooting;;;;;;;;;;
gztexas;그라운드 제로 텍사스 Disc 1 (미국판);MAME segacd;;;;Interactive Movie;;;;;;;;;;
gztexas;그라운드 제로 텍사스 Disc 2 (미국판);MAME segacd;gztexas;;;Interactive Movie;;;;;;;;;;
nstriker;나이트 스트라이커 (일본판);MAME megacdj;;1993;Taito;Shooting;;;;;;;;;;
Night Trap 32X Disc-1 (USA);나이트 트랩 Disc 1 32X CD (미국판);SEGA CD Fusion;ntrap;;;Interactive Movie;;;;;;;;;;
Night Trap 32X Disc-2 (USA);나이트 트랩 Disc 2 32X CD (미국판);SEGA CD Fusion;ntrap;;;Interactive Movie;;;;;;;;;;
#novastm;노바스톰 (미국판);MAME segacd;;1994;Psygnosis;Shooting;;;;;;;;;;
nost1907;노스탈지아 1907 (일본판);MAME megacdj;;1991;Takeru;Adventure;;;;;;;;;;
ninjawar;닌자 워리어즈 (일본판);MAME megacdj;;;;Action;;;;;;;;;;
darkwiz;다크 위자드 (미국판);MAME segacd;;;;SRPG;;;;;;;;;;
daihoush;대봉신전 (일본판);MAME megacdj;;1995;Victor;RPG;;;;;;;;;;
dblswtch;더블 스위치 (미국판);MAME segacd;;;;Interactive Movie;;;;;;;;;;
eyebehol;던전&드래곤: 주시자의 눈 (미국판);MAME segacd;;;;RPG;;;;;;;;;;
devastat;데바스테이터 (일본판);MAME megacdj;;;;Shooting;;;;;;;;;;
deathbrn;데스 브링거 (일본판);MAME megacdj;;;;RPG;;;;;;;;;;
detonatr;데터네이터 오건 (일본판);MAME megacdj;;1992;Hot-B;Adventure;;;;;;;;;;
Dragon's Lair (U);드래곤스 레어 (미국판);SEGA CD Fusion;dlair;;;Interactive Movie;;;;;;;;;;
#risedrg;라이즈 오브 드래곤 (미국판);MAME segacd;;;;Adventure;;;;;;;;;;
ranma;란마 - 백란애가 (일본판);MAME megacdj;;;;Adventure;;;;;;;;;;
lodoss;로도스섬 전기 영웅전쟁 (일본판);MAME megacdj;;1994;SEGA;RPG;;;;;;;;;;
rbfx;로드 블라스터 FX (일본판);MAME megacdj;;1992;Data East;Interactive Movie;;;;;;;;;;
lordstar;로드 오브 썬더 (미국판);MAME segacd;;;;Interactive Movie;;;;;;;;;;
loadstar;로드스타 - 툴리 보딘의 전설 (미국판);MAME segacd;;1994;Rocket Science Games;Interactive Movie;;;;;;;;;;
Lunar Silver Star Story (J-K);루나 실버 스타 스토리 (한글판);SEGA CD Fusion;;;;RPG;;;;;;;;;;
Lunar Eternal Blue (J-K);루나 이터널 블루 (한글판);SEGA CD Fusion;;;;RPG;;;;;;;;;;
revninja;리벤지 오브 더 닌자 (미국판);MAME segacd;;1993;Renovation;Interactive Movie;;;;;;;;;;
lethalen;리썰 인포서스 (미국판);MAME segacd;;1993;Konami;Gun Shooting;;;;;;;;;;
le2;리썰 인포서스 II - 건 파이터즈 (미국판);MAME segacd;;1994;Konami;Gun Shooting;;;;;;;;;;
silkylip;마법소녀 실키립;MAME megacdj;;1992;Riot;RPG;;;;;;;;;;
#mypaint;마이 페인트 (미국판);MAME segacd;;;;Painter;;;;;;;;;;
#microcos;마이크로코즘 (미국판);MAME segacd;;;;Interactive Movie;;;;;;;;;;
mmpr;마이티 몰핀 파워 레인저스 (미국판);MAME segacd;;;;Interactive Movie;;;;;;;;;;
megaschw;메가 슈발츠실드 (일본판);MAME megacdj;;1993;SEGA;STR;;;;;;;;;;
mk;모탈 컴뱃 완전판 (일본판);MAME megacdj;;1994;Acclaim;VS Fighting;;;;;;;;;;
mansion;몽견관 이야기 (일본판);MAME megacdj;;;;Adventure;;;;;;;;;;
midnight;미드나이트 레이더스 (미국판);MAME segacd;;1995;SEGA;Interactive Movie;;;;;;;;;;
mmania;미키 매니아 (미국판);MAME segacd;;;;Action;;;;;;;;;;
bariarm;바리암 (일본판);MAME megacdj;;;;Shooting;;;;;;;;;;
batmanrn;배트맨 리턴즈 (미국판);MAME segacd;;;;Action;;;;;;;;;;
advbatr;배트맨과 로빈 (미국판);MAME segacd;;;;Action;;;;;;;;;;
#frcestrk;버닝 피스트 - 포스 스트라이커 (미국판);MAME segacd;;;;VS Fighting;;;;;;;;;;
vay;베이 - 유성의 갑옷 (미국판);MAME segacd;;1993;Hertz;RPG;;;;;;;;;;
burai;부라이 팔옥의 용사전설 (일본판);MAME megacdj;;1992;RiverHill Soft;RPG;;;;;;;;;;
dracula;브람스토커 드라큐라 (미국판);MAME segacd;;;;Action;;;;;;;;;;
blckhole;블랙홀 어설트 (일본판);MAME megacdj;;1992;Micronet;VS Fighting;;;;;;;;;;
samsho;사무라이 쇼다운 (미국판);MAME segacd;;1995;JVC;VS Fighting;;;;;;;;;;
cyborg9;사이보그 009 (일본판);MAME megacdj;;1993;Telenet Japan;Action;;;;;;;;;;
shinfrce;샤이닝 포스 CD (미국판);MAME segacd;;;SEGA;SRPG;;;;;;;;;;
beast2;섀도우 오브 더 비스트 II (미국판);MAME segacd;;;;Action;;;;;;;;;;
shadowrn;섀도우런 (일본판);MAME megacdj;;;Compile;RPG;;;;;;;;;;
3x3eyes;성마전설 3X3 아이즈 (일본판);MAME megacdj;;1993;SEGA;RPG;;;;;;;;;;
segaac5;세가 클래식 아케이드 콜렉션 5합 (미국판);MAME segacd;;1992;SEGA;Multi Game;;;;;;;;;;
soniccd;소닉 CD. 미국판;MAME segacd;Sonic CD (USA);;;Action;;;;;;;;;;
soniccd;소닉 CD. 일본판;MAME megacdj;Sonic CD (Japan);;SEGA;Action;;;;;;;;;;
soulstar;소울스타 (일본판);MAME megacdj;;1994;Victor;Shooting;;;;;;;;;;
Sol-Feace (J);솔-피스 (일본판);SEGA CD Fusion;solfeace;1991;Wolf Team;Shooting;;;;;;;;;;
Supreme Warrior - Ying Heung Disc-1 32X (USA);슈프림 워리어 - 잉흥 Disc 1 32X CD (미국판);SEGA CD Fusion;supremew;;;Interactive Movie;;;;;;;;;;
Supreme Warrior - Ying Heung Disc-2 32X (USA);슈프림 워리어 - 잉흥 Disc 1 32X CD (미국판);SEGA CD Fusion;supremew;;;Interactive Movie;;;;;;;;;;
snatcher;스내처 (미국판);MAME segacd;;;;Adventure;;;;;;;;;;
