#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
rtype3u;R 타입 III;MAME snes;R-Type III - The Third Lightning (U) [!];1994;Jaleco;Shooting;;;;;;;;;;
sdgungx;SD 건담 GX;MAME snes;SD Gundam GX (J) [!];1994;Bandai;SRPG;;;;;;;;;;
sdhiryu;SD 비룡의 권;MAME snes;;1994;Culture Brain;VS Fight;;;;;;;;;;
ggoemon2;간바레 고에몽 2;MAME snes;Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (J);1993;Konami;Action;;;;;;;;;;
Go Go Ackman 1 (1994,Banpresto,AT)(K);고고 아크맨 1 (한글판);SNES;;1994;Banpresto;Action;;;;;;;;;;
Go Go Ackman 2 (1994,Banpresto,AT)(K);고고 아크맨 2 (한글판);SNES;;1994;Banpresto;Action;;;;;;;;;;
gsmikami;고스트 스위퍼 미카미;MAME snes;;1993;Banalex;Action;;;;;;;;;;
ghostcha;고스트 체이서;MAME snes;;1994;Banpresto;Arcade;;;;;;;;;;
Megami Tensei 1&2 (K);구약 여신전생 1 & 2 (한글판);SNES;;1995;Atlus;RPG;;;;;;;;;;
pocky2u;기기괴계 2: 월야초자;MAME snes;Pocky & Rocky 2 (USA);1994;Natsume;Shooting;;;;;;;;;;
Neugier (K);노이기어 (한글판);SNES;;1993;Wolf Team;RPG;;;;;;;;;;
Rudra no Hihou (K);누드라의 비보 (한글판);SNES;;1996;Square;RPG;;;;;;;;;;
tmnt4a;닌자 거북이 - 터틀스 인 타임;MAME snes;;1992;Konami;Arcade;;;;;;;;;;
ninjawaru;닌자 워리어즈;MAME snes;Ninja Warriors, The (U);1994;Taito;Action;;;;;;;;;;
demonblz;데몬즈 블레이즌;MAME snes;demoncrt;1994;Capcom;Action;;;;;;;;;;
Dual Orb 2 (K);듀얼 오브 2 (한글판);SNES;;1993;I'Max;RPG;;;;;;;;;;
dbzchom;드래곤 볼 Z 초무투전;MAME snes;Dragon Ball Z - Super Butouden 3 (K);1992;Bandai;VS Fight;;;;;;;;;;
