#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Bujingai (K);Bujingai;PS2;Bujingai - The Forsaken City (USA);2003;Taito;Action;;;;;;;;;;;;;;
#NBA Street Vol. 2 (K);NBA 스트리트 Vol. 2;PS2;NBA Street Vol. 2 (USA);2003;EA;Sports;2;;;;;;;;한국어;;;;;
#R-Type Final (K);R-타입 파이널;PS2;R-Type Final (USA);2003;Irem;Shooting;1;;;;;;;;한국어;;;;;
#SD Gundam G Generation NEO (K);SD 건담 G 제너레이션 네오;PS2;0;2003;Badai;SRPG;1;;;;;;;;한국어;;;;;
Snk VS Capcom (K);SNK Vs. 캡콤;PS2;0;2000;SNK Playmore;Fighting;2;;;;;;;;한국어;;;;;
SSX 3 (K);SSX 3;PS2;SSX 3 (USA);2003;EA;Sports;1;;;;;;;;한국어;;;;;
#Smack Down Vs Row (K);WWE 스맥다운 Vs. Raw;PS2;WWE SmackDown! vs. Raw (USA);2004;THQ;Sports;6;;;;;;;;한국어;;;;;
God of War (K);갓 오브 워 1;PS2 (ISO);God of War (USA);2005;SIEA;Action;1;;;;;;;;한국어;;;;;
God of war 2 (K);갓 오브 워 2;PS2;God of War II (USA);2007;SIEA;Action;1;;;;;;;;한국어;;;;;
#God Hand (K);갓 핸드;PS2;God Hand (USA);2006;Capcom;Action;1;;;;;;;;한국어;;;;;
#Keroro Battle Royal Z (K);개구리중사 케로로 불꽃튀는 배틀로얄 Z;PS2;;2005;BANDAI;Fighting;4;;;;;;;;한국어;;;;;
#Gun Survivor 3 Dino Crisis;건 서바이버 3 디노 크라이시스;PS2;Dino Stalker (USA);2002;Capcom;GunShooting;1;;;;;;;;한국어;;;;;
Biohazard Gun Survivor 4;건 서바이버 4 바이오 해자드;PS2;Resident Evil - Dead Aim (USA);2003;Capcom;GunShooting;1;;;;;;;;한국어;;;;;
Gungrave (K);건그레이브;PS2;Gungrave (USA);2002;RED Entertainment;Action;1;;;;;;;;한국어;;;;;
