11beat	Eleven Beat	Hudson
1941	1941: 카운터 어택 (세계판 900227)	Capcom
1941j	1941: 카운터 어택 (일본판)	Capcom
1941r1	1941: 카운터 어택 (세계판)	Capcom
1941u	1941: 카운터 어택(미국판 900227)	Capcom
1942	1942 (개정판 B)	Capcom
1942a	1942 (개정판 A)	Capcom
1942abl	1942 (개정판 A, bootleg)	bootleg
1942b	1942 (First Version)	Capcom
1942h	슈퍼차저1942	hack (Two Bit Score)
1942p	1942 (Tecfri PCB, bootleg?)	bootleg
1942w	1942 (Williams Electronics license)	Capcom (Williams Electronics license)
1943	1943: 미드웨이 해전 (유럽판)	Capcom
1943b	1943: 미드웨이 해전 (bootleg, hack of Japan set)	bootleg
1943bj	1943: 미드웨이 해전 (bootleg)	bootleg
1943j	1943: 미드웨이 해전 (일본판, 개정판 B)	Capcom
1943ja	1943: 미드웨이 해전 (일본판)	Capcom
1943jah	1943: 미드웨이 해전 (일본판, no protection hack)	Capcom
1943kai	1943 개(改): 미드웨이 해전 (일본판)	Capcom
1943kais01	1943 개(改): 미드웨이 해전 (초기 무기 레이저, B버튼으로 보조기체 획득, 무한 롤오버)(일본판)	winux/pipi899
1943mii	1943: 미드웨이 해전 Mark II (미국판)	Capcom
1943u	1943: 미드웨이 해전 (US, Rev C)	Capcom
1943ua	1943: 미드웨이 해전 (미국판)	Capcom
1944	1944: 루프 마스터 (미국판 000620)	Eighting / Raizing (Capcom license)
1944d	1944: 루프 마스터 (미국판 000620 Phoenix Edition) (bootleg)	bootleg
1944fp	1944: 루프 마스터 (총알 최대, 폭탄무한, 미니비행기)	Qxs8
1944j	1944: 루프 마스터 (일본판 000620)	Eighting / Raizing (Capcom license)
1944s01	1944: 루프 마스터 (총알최대, 폭탄무한)	DDJ
1945kiii	1945k III (newer, OPCX2 PCB)	Oriental Soft
1945kiiin	1945k III (newer, OPCX1 PCB)	Oriental Soft
1945kiiio	1945k III (구버전, OPCX1 PCB)	Oriental Soft
19xx	19XX: 운명과의 전쟁 (미국판 951207)	Capcom
19xxa	19XX: 운명과의 전쟁 (아시아판 960104)	Capcom
19xxar1	19XX: 운명과의 전쟁 (아시아판 951207)	Capcom
19xxb	19XX: 운명과의 전쟁 (Brazil 951218)	Capcom
19xxd	19XX: 운명과의 전쟁 (미국판 951207 Phoenix Edition) (bootleg)	bootleg
19xxh	19XX: 운명과의 전쟁 (히스패닉판 951218)	Capcom
19xxj	19XX: 운명과의 전쟁 (일본판 960104, yellow case)	Capcom
19xxjr1	19XX: 운명과의 전쟁 (일본판 951225)	Capcom
19xxjr2	19XX: 운명과의 전쟁 (일본판 951207)	Capcom
19xxs01	19XX: 운명과의 전쟁(화력 최대,폭탄 무한)	DDJ
1on1gov	1 대 1 거버넌트 (일본판)	Tecmo
2020bb	2020 휠즈 & 파이어 베이스볼 (세트 1)	SNK / Pallas
2020bba	2020 슈퍼 베이스볼 (세트 2)	SNK / Pallas
2020bbh	2020 슈퍼 베이스볼 (세트 3)	SNK / Pallas
20pacgal	미즈 팩맨 / 갤러그 - 20주년 기념판 (버전 1.08)	Namco / Cosmodog
20pacgalr0	미즈 팩맨 / 갤러그 - 20주년 기념판 (V1.00)	Namco / Cosmodog
20pacgalr1	미즈 팩맨 / 갤러그 - 20주년 기념판 (V1.01)	Namco / Cosmodog
20pacgalr2	미즈 팩맨 / 갤러그 - 20주년 기념판 (V1.02)	Namco / Cosmodog
20pacgalr3	미즈 팩맨 / 갤러그 - 20주년 기념판 (V1.03)	Namco / Cosmodog
20pacgalr4	미즈 팩맨 / 갤러그 - 20주년 기념판 (V1.04)	Namco / Cosmodog
25pacman	팩맨 - 25주년 기념판 (개정판 3.00)	Namco / Cosmodog
25pacmano	팩맨 - 25주년 기념판 (개정판 2.00)	Namco / Cosmodog
2mindril	투 미닛 드릴	Taito America Corporation
3countb	3 카운트 바웃 / 파이어 수플렉스 (NGM-043)(NGH-043)	SNK
3in1semi	제스 - 더 뉴 레볼류션 (SemiCom 3-in-1)	SemiCom / XESS
3kokushi	삼각지 (일본판)	Mitchell
3on3dunk	3 On 3 덩크 매드니스 (미국판, 시험판 1997/02/04)	Video System Co.
3stooges	쓰리 스투지스 / 세명의 바보들 - 신부는 신부다	Mylstar
3stoogesa	쓰리 스투지스 / 세명의 바보들 - 신부는 신부다 (세트 2)	Mylstar
3wonders	쓰리 원더스 (세계판 910520)	Capcom
3wonders01	쓰리 원더스 (EX 슈퍼 버전. 공략 참고)(세계판 910520)	huangxu
3wonders02	쓰리 원더스 (생명 무한)(세계판 910520)	Blue-Ray
3wondersb	쓰리 원더스 (bootleg)	bootleg
3wondersh	쓰리 원더스 (해킹판)	bootleg
3wondersr1	쓰리 원더스 (세계판 910513)	Capcom
