#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
#18wheelr;18 휠러 (디럭스);SEGA NAOMI;;2000;SEGA;Racing;;;;;;;;;;;;;;
wwfroyal;WWF 로얄 럼블;SEGA NAOMI;;1994;Data east;Sports;;;;;;;;;;;;;;
gunsur2;건 서바이버 2: 바이오하자드;SEGA NAOMI;;2000;Capcom;GunShooting;;;;;;;;;;;;;;
#gwing2;기가 윙 2;SEGA NAOMI;;2000;Capcom;Shooting;;;;;;;;;;;;;;
gundmct;기동전사 건담: 연방 VS 지온;SEGA NAOMI;;2001;Banpresto;Action;;;;;;;;;;;;;;
ggx;길티기어 X;SEGA NAOMI;;2000;ARC System Works;Fighting;;;;;;;;;;;;;;
ggxxrl;길티기어 XX 샤프 리로드;SEGA NAOMI;0;2003;ARC System Works;Fighting;2;;;;;;;;;;;;;
ggxxsla;길티기어 XX 슬래쉬;SEGA NAOMI;;2005;ARC System Works;Fighting;2;;;;;;;;;;;;;
ggxxac;길티기어 XX 액센트 코어;SEGA NAOMI;;2006;ARC System Works;Fighting;;;;;;;;;;;;;;
ninjaslt;닌자 어설트;SEGA NAOMI;;2000;Namco;GunShooting;;;;;;;;;;;;;;
#dybbnao;다이나마이트 야구 나오미;SEGA NAOMI;;1998;SEGA;Sports;;;;;;;;;;;;;;
asndynmt;다이나마이트 형사 EX;SEGA NAOMI;;2007;SEGA;Action;;;;;;;;;;;;;;
#mok;더 메이즈 오브 더 킹스;SEGA NAOMI;;2002;SEGA;GunShooting;;;;;;;;;;;;;;
doa2m;데드 오어 얼라이브 2 밀레니엄;SEGA NAOMI;;2000;Tecmo;Fighting;;;;;;;;;;;;;;
#deathsml;데스 스마일즈;CAVE;;2007;CAVE;Shooting;;;;;;;;;;;;;;
#dsmbl;데스 스마일즈 메가 블랙라벨;CAVE;;2008;CAVE;Shooting;;;;;;;;;;;;;;
deathcox;데스 크림슨 OX;SEGA NAOMI;;2001;Sammy;GunShooting;;;;;;;;;;;;;;
#ddpdfk;도돈파치 대부활;CAVE;;2008;CAVE;Shooting;;;;;;;;;;;;;;
#dfkbl;도돈파치 대부활 블랙라벨;CAVE;;2010;CAVE;Shooting;;;;;;;;;;;;;;
#lupinsho;루팡 3세 - 더 슈팅;SEGA NAOMI;;2001;SEGA;GunShooting;;;;;;;;;;;;;;
#mamonoro;마모루군은 저주받아 버렸다;SEGA NAOMI;;2008;G.rev;Shooting;;;;;;;;;;;;;;
mvsc2;마블 VS 캡콤 2;SEGA NAOMI;;2000;Capcom;Fighting;;;;;;;;;;;;;;
#meltyblo;멜티 블러드 - 액트 카덴자;SEGA NAOMI;;2005;Ecole;Fighting;;;;;;;;;;;;;;
#mbaa;멜티 블러드 - 액트리스 어게인;SEGA NAOMI;;2008;Ecole;Fighting;2;;;;;;;;;;;;;
#mmpork;무치! 무치! 포크!;CAVE;;2007;CAVE;Shooting;;;;;;;;;;;;;;
virnbao;버추어 NBA;SEGA NAOMI;virnba;1999;SEGA;Sports;;;;;;;;;;;;;;
vstrik3c;버추어 스트라이커 3;SEGA NAOMI;;2002;SEGA;Sports;;;;;;;;;;;;;;
vtenis2c;버추어 테니스 2;SEGA NAOMI;;2001;SEGA;Sports;;;;;;;;;;;;;;
vf4cart;버추어 파이터 4;SEGA NAOMI;;2001;SEGA;Fighting;;;;;;;;;;;;;;
vf4evoct;버추어 파이터 4 에볼루션;SEGA NAOMI;;2002;SEGA;Fighting;;;;;;;;;;;;;;
