#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
2020bb;2020 슈퍼 베이스볼;MAME;0;1991;SNK;Sports;;;;;;;neogeo;;;;;;;
svcpcb;SNK VS 캡콤 - SVC 카오스;MAME;;2003;SNK Playmore;Fighting;2;0;joystick (8-way);good;1;raster;neogeo;;;4;;;;
svcsplus;SNK VS 캡콤 - 슈퍼 플러스;MAME;0;2003;SNK Playmore;Fighting;2;0;joystick (8-way);;;;;;;;;;;
#cvsgd;캡콤 VS SNK 밀레니엄 파이트 2000 프로;MAME;0;2001;Capcom;Fighting;2;0;Joystick (8-way);preliminary;1;raster;naomigd;0;chd;6;;;;
ganryu;간류;MAME;0;1999;Visco;Action;2;0;Joystick (8-way);imperfect;1;raster;neogeo;0;0;3;;;;
galaxyfg;갤럭시 파이트 - 유니버셜 워리어즈;MAME;0;1995;Sunsoft;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
#gpilots;고스트 파일럿;MAME;0;1995;Visco;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2;;;;
goalx3;골! 골! 골!;MAME;0;1995;Visco;Sports;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;3;;;;
nitd;나이트메어 인 더 다크;MAME;0;2000;Eleven / Gavaking;Action;;;;;;;neogeo;0;0;4;;;;
#nam1975;남-1975;MAME;0;1990;SNK;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2;;;;
legendos;내일의 죠 전설;MAME;0;1991;SNK;Arcade;1;;;;;;neogeo;;;;;;;
neodrift;네오 드리프트 아웃;MAME;0;1996;Visco;Racing;1;0;Joystick (8-way);good;1;raster;neogeo;0;0;2;;;;
neomrdo;네오 미스터 도!;MAME;0;1996;Visco;Puzzle;;;;;;;neogeo;;;;;;;
neobombe;네오 봄버맨;MAME;0;1997;Hudson Soft;Puzzle;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
turfmast;네오 터프 마스터즈;MAME;0;1996;Nazca;Sports;;;;;;;neogeo;;;;;;;
neocup98;네오지오컵 '98;MAME;neocup98;1998;SNK;Sports;2;270;Joystick (8-way),positional;good;1;raster;neogeo;0;0;3;;;;
neocup98kt;네오지오컵 '98 (한글판);EKMAME;neocup98;1998;SNK;Sports;2;270;Joystick (8-way),positional;good;1;raster;neogeo;0;0;3;;;;
ninjamas;닌자 마스터즈 - 패왕인법첩;MAME;0;1996;ADK;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
#ncombat;닌자 컴뱃;MAME;0;1990;ADK;Action;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2;;;;
#ncommand;닌자 코만도;MAME;0;1992;Alpha;Shooting;2;0;;good;1;;neogeo;;;;;;;
doubledr;더블 드래곤 대전;MAME;0;1995;Technos;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
#lresort;라스트 리조트;MAME;0;1992;SNK;Shooting;;;;;;;neogeo;;;;;;;
rotd;레이지 오브 더 드래곤;MAME;0;2002;SNK Playmore;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
#lbowling;리그 볼링;MAME;0;1990;SNK;Sports;2;0;;good;1;;neogeo;;;;;;;
rbff1;리얼바웃 아랑전설;MAME;;1995;SNK;Fighting;2;0;joystick (8-way);good;1;raster;neogeo;;;4;;;;
rbff2;리얼바웃 아랑전설 2: 더 뉴커머스;MAME;0;1998;SNK;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
rbff2k;리얼바웃 아랑전설 2: 더 뉴커머스 (한국판);EKMAME;rbff2;1998;SNK;Fighting;2;0;joystick (8-way);good;1;raster;neogeo;;;4;;;;
rbffspec;리얼바웃 아랑전설 스페셜;MAME;0;1996;SNK;Fighting;;;;;;;neogeo;;;;;;;
rbffspeck;리얼바웃 아랑전설 스페셜 (한국판);EKMAME;rbffspec;1996;SNK;Fighting;2;0;joystick (8-way);good;1;raster;neogeo;;;4;;;;
#maglord;매지션 로드;MAME;0;1990;Alpha;Action;;;;;;;neogeo;;;;;;;
mslug;메탈슬러그;MAME;0;1996;SNK;Action;2;0;;good;1;;neogeo;;;;;;;
mslug2;메탈슬러그 2;MAME;0;1998;SNK;Action;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
mslug3;메탈슬러그 3;MAME;0;2000;SNK;Action;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
mslug4;메탈슬러그 4;MAME;0;2002;SNK Playmore;Action;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
mslug5;메탈슬러그 5;MAME;0;2003;SNK Playmore;Action;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
mslugx;메탈슬러그 X;MAME;0;1999;SNK;Action;;;;;;;neogeo;;;;;;;
bstars;베이스볼 스타즈 프로페셔널;MAME;;1990;SNK;Sports;2;0;joystick (8-way);good;1;raster;neogeo;;;4;;;;
bstars2;베이스볼 스타즈 2;MAME;0;1993;SNK;Sports;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2;;;;
#viewpoin;뷰포인트;MAME;0;1992;Sammy;Shooting;1;0;Joystick (8-way);good;1;raster;neogeo;0;0;2;;;;
breakrev;브레이커즈 리벤지;MAME;0;1998;Visco;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
#blazstar;블레이징 스타;MAME;0;1998;yumekobo;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
samsho;사무라이 쇼다운;MAME;0;1993;SNK;Fighting;;;;;;;neogeo;;;;;;;
samsho2;사무라이 쇼다운 II / 진 사무라이 스피리츠: 하오마루 지옥변;MAME;0;1994;SNK;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
samsho2k;사무라이 쇼다운 II (한글판) / 진 사무라이 스피리츠: 하오마루 지옥변;EKMAME;samsho2;1994;SNK;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
samsho2ka;사무라이 쇼다운 II (한글판) / 싸울아비 투혼;EKMAME;samsho2;1994;SNK;Fighting;2;0;joystick (8-way);good;1;raster;neogeo;;;4;;;;
samsho3;사무라이 쇼다운 III / 사무라이 스피리츠: 잔쿠로 무쌍검;MAME;0;1995;SNK;Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4;;;;
