#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
ggx15;길티기어 X Ver.1.5;Sammy Atomiswave;ggx;2000;ARC System Works;Fighting;;;;;;;;;;;;;;
ggisuka;길티기어 이수카;Sammy Atomiswave;;2003;ARC System Works;Fighting;;;;;;;;;;;;;;
ngbc;네오지오 배틀 콜레세움;Sammy Atomiswave;;2005;SNK;Fighting;;;;;;;;;;;;;;
demofist;데몰리시 피스트;Sammy Atomiswave;;2003;Polygon Magic;Action;;;;;;;;;;;;;;
#dolphin;돌핀 블루;Sammy Atomiswave;;2003;Sammy;Action;;;;;;;;;;;;;;
rumblef2;럼블 피쉬 2;Sammy Atomiswave;;2005;Sammy;Fighting;;;;;;;;;;;;;;
mslug6;메탈 슬러그 6;Sammy Atomiswave;;2004;SNK Playmore;Action;;;;;;;;;;;;;;
fotns;북두의 권: 심판의 쌍창성 권호열전;Sammy Atomiswave;;2005;ARC System Works;Fighting;;;;;;;;;;;;;;
blokpong;블록 퐁-퐁;Sammy Atomiswave;;0;Sammy;Puzzle;;;;;;;;;;;;;;
samsptk;사무라이 스피리츠 천하제일검객전;Sammy Atomiswave;;2006;SNK Playmore;Fighting;;;;;;;;;;;;;;
basschal;세가 배스 피싱 챌린지;Sammy Atomiswave;;1997;SEGA;Sports;;;;;;;;;;;;;;
srtshot;스포츠 슈팅 USA;Sammy Atomiswave;;2003;Sammy;Sports;;;;;;;;;;;;;;
kov7sprt;신 삼국전기 - 칠성전생;Sammy Atomiswave;;2004;IGS;Arcade;;;;;;;;;;;;;;
xtrmhnt2;익스트림 헌팅 2;Sammy Atomiswave;;2006;Sammy;GunShooting;;;;;;;;;;;;;;
kofxi;킹오브파이터즈 XI;Sammy Atomiswave;;2005;SNK Playmore;Fighting;;;;;;;;;;;;;;
kofnw;킹오브파이터즈 네오 웨이브;Sammy Atomiswave;;2004;SNK Playmore;Fighting;;;;;;;;;;;;;;
ftspeed;패스터 댄 스피드;Sammy Atomiswave;;2004;Sammy;Racing;;;;;;;;;;;;;;
